"Carimbo de data/hora","Digite seu NUSP","Marque as Matérias que Deseja"
"2022/11/23 8:48:47 AM GMT-3","12676491","MAC0102;MAC0210;MAC0323;MAC0422;MAC0219;MAC0218;MAC0460;MAC0425"
"2022/11/23 8:54:33 AM GMT-3","13672791","MAC0102;MAC0209;MAC0210;MAC0323"
"2022/11/23 9:01:46 AM GMT-3","11795464","MAC0499;MAC0420;MAC0460;MAC0336"
"2022/11/23 10:13:08 AM GMT-3","11795294","MAC0219;MAC0439;MAC0460;MAC0425;MAC0320"
"2022/11/23 10:37:48 AM GMT-3","11796378","MAC0499;MAC0219;MAC0417;MAC0439;MAC0218"
"2022/11/23 10:38:02 AM GMT-3","12542821","MAC0499;MAC0219;MAC0467;MAC0218"
"2022/11/23 10:54:24 AM GMT-3","13672679","MAC0102;MAC0209;MAC0323;MAT0236"
"2022/11/23 12:34:06 PM GMT-3","11796868","MAC0219;MAC0439;MAC0420;MAC0460;MAC0425;MAE0228;MAC0320"
"2022/11/23 1:11:15 PM GMT-3","11796340","MAC0210;MAC0422;MAC0467;MAC0218;MAC0425"
"2022/11/23 1:20:53 PM GMT-3","12566122","MAC0422;MAC0219;MAC0218;MAC0425;MAC0336;MAC0350"
"2022/11/23 1:24:39 PM GMT-3","12566101","MAC0422;MAC0219;MAC0460;MAC0350"
"2022/11/23 3:17:23 PM GMT-3","12543307","MAC0422;MAC0219;MAC0691;MAC0218;MAC0320;MAC0350"
"2022/11/23 4:13:55 PM GMT-3","10730021","MAC0417;MAC0460;MAC0320;MAC0350"
"2022/11/23 4:45:31 PM GMT-3","12542414","MAC0422;MAC0218;MAC0460;MAE0228;MAC0350"
"2022/11/23 4:56:45 PM GMT-3","11207651","MAC0210;MAT0236;MAC0219;MAC0467;MAC0218;MAC0350"
"2022/11/23 5:03:16 PM GMT-3","9353081","MAC0323;MAT0236;MAC0422;MAC0218;MAC0350"
"2022/11/23 6:32:36 PM GMT-3","10723774","MAT0236;MAC0499;MAC0439"
"2022/11/23 6:56:43 PM GMT-3","11796399","MAC0467;MAC0460;MAC0425;MAC0350"
"2022/11/23 7:25:30 PM GMT-3","11261851","MAC0210;MAC0422;MAC0218;MAC0425"
"2022/11/23 9:33:10 PM GMT-3","11726549","MAC0422;MAC0499;MAC0691;MAC0436"
"2022/11/23 10:51:22 PM GMT-3","11222008","MAC0467;MAC0439;MAC0460;MAC0425;MAE0228"
"2022/11/24 1:24:45 PM GMT-3","9833002","MAC0102;MAC0323;MAC0422;MAC0219;MAC0460"
"2022/11/24 2:11:01 PM GMT-3","9298614","MAC0439;MAC0425"
"2022/11/24 3:01:30 PM GMT-3","11795273","MAC0499;MAC0473;MAC0219;MAC0425"
"2022/11/25 11:47:49 AM GMT-3","10297647","MAC0467;MAC0420;MAC0320"
"2022/11/25 8:30:33 PM GMT-3","13671528","MAC0102;MAC0209;MAC0210;MAC0323;MAT0236;MAT0264"
"2022/11/25 8:39:50 PM GMT-3","12543374","MAC0422;MAC0219;MAC0218;MAC0425;MAC0350"
"2022/11/25 8:43:50 PM GMT-3","6818375","MAC0422;MAC0425"
"2022/11/25 8:48:39 PM GMT-3","10783142","MAT0236;MAC0499;MAE0312;MAC0320"
"2022/11/25 8:48:53 PM GMT-3","13672703","MAC0102;MAC0209;MAC0210;MAC0323;MAT0236"
"2022/11/25 8:50:26 PM GMT-3","13672752","MAC0323"
"2022/11/25 9:11:26 PM GMT-3","10297693","MAC0499;MAC0218"
"2022/11/25 10:00:30 PM GMT-3","13695070","MAC0102;MAC0209;MAC0210;MAC0323;MAT0236"
"2022/11/26 8:57:08 AM GMT-3","9298594","MAC0209;MAC0210;MAC0323;MAC0422;MAC0219;MAC0320"
"2022/11/26 12:03:17 PM GMT-3","12543850","MAC0210;MAC0422;MAC0219;MAC0439;MAC0218;MAC0350"
"2022/11/26 12:26:07 PM GMT-3","11275297","MAC0499;MAC0460;MAC0425"
"2022/11/26 8:06:49 PM GMT-3","11302720","MAC0467;MAC0336;MAC0320"
"2022/11/26 10:49:06 PM GMT-3","9276940","MAC0210;MAT0236;MAC0422;MAC0219;MAC0320;MAC0350"
"2022/11/27 1:27:29 PM GMT-3","12717033","MAC0102;MAC0209;MAC0210;MAC0323;MAT0236"
"2022/11/27 11:04:14 PM GMT-3","12702541","MAC0218;MAC0460;MAE0228"
"2022/11/28 9:55:26 AM GMT-3","11849460","MAC0499;MAC0467;MAC0460;MAC0425"
"2022/11/29 10:41:02 PM GMT-3","11208109","MAC0209;MAC0210;MAT0236;MAC0422;MAC0350"
"2022/11/30 11:22:29 AM GMT-3","11276023","MAT0236;MAC0422;MAC0320;MAC0350"